TrialType,Lag,Image,T1PA,T2PA,PicFolder,Picture,FullPathName,FilePath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,MemTest.started,MemTest.stopped,MemResponse.keys,MemResponse.rt,MemResponse.started,MemResponse.stopped,Display.started,Display.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.478033399995184,None,space,0.5973135999956867,8.478033399995184,None,,,,,,,,,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,giraffe.jpg,P,P,JPG\,giraffe,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\giraffe.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,0,0,0,,,,,,,9.27809089999937,None,1,0.8282235000078799,9.27809089999937,None,9.27809089999937,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,greathornowl.jpg,P,P,JPG\,greathornowl,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\greathornowl.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,1,1,1,,,,,,,10.136125200006063,None,1,0.31416920000629034,10.136125200006063,None,10.136125200006063,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,candle08b.jpg,P,P,JPG\,candle08b,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\candle08b.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,2,2,2,,,,,,,10.623202799994033,None,1,0.33170650000101887,10.623202799994033,None,10.623202799994033,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,horse.jpg,P,P,JPG\,horse,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\horse.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,3,3,3,,,,,,,11.04293090000283,None,1,0.3931103000068106,11.04293090000283,None,11.04293090000283,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,snowman.jpg,P,P,JPG\,snowman,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\snowman.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,4,4,4,,,,,,,11.470341000007465,None,1,0.4135695000004489,11.470341000007465,None,11.470341000007465,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,squirrel.jpg,P,P,JPG\,squirrel,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\squirrel.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,5,5,5,,,,,,,11.901514700002735,None,1,0.4534449000057066,11.901514700002735,None,11.901514700002735,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,firtree.jpg,P,P,JPG\,firtree,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\firtree.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,6,6,6,,,,,,,12.48330469999928,None,1,0.36749499999859836,12.48330469999928,None,12.48330469999928,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,bowlingball.jpg,P,P,JPG\,bowlingball,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\bowlingball.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,7,7,7,,,,,,,12.870557999995071,None,1,0.4439522000029683,12.870557999995071,None,12.870557999995071,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
Mem,1,bowlingpin.jpg,P,P,JPG\,bowlingpin,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\bowlingpin.jpg,C:\\Users\\Psychology\\Documents\\ABExperiment\\MemoryStudy\\resources\\JPG\\,0,8,8,8,,,,,,,13.336938599997666,None,1,0.4502874000027077,13.336938599997666,None,13.336938599997666,None,yt,001,2022-06-21_15h58.47.245,MemoryStudy,2022.1.4,59.95078040788951,
